TaskID,TaskName,Description,StartDate,EndDate,Status
564,Prepare Performance Reports,Prepare port performance reports.,2020-11-02,2023-03-24,Complete
565,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2021-07-07,2023-07-24,Empty
566,Supervise Turnaround Times,Supervise vessel turnaround times.,2022-04-17,2024-11-14,Complete
567,Monitor Container Movement,Monitor container movements.,2022-03-17,2024-10-05,In Progress
568,Ensure Compliance,Ensure compliance with port regulations.,2021-10-31,2022-01-31,In Progress
569,Document Shipments,Ensure proper documentation for shipments.,2020-06-27,2022-11-18,Empty
570,Manage Berth Allocation,Manage berth allocation.,2022-05-11,2024-02-14,In Progress
571,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2021-03-06,2024-02-29,In Progress
572,Monitor Loading Progress,Monitor vessel loading progress.,2023-04-18,2024-04-12,Complete
573,Oversee Cargo Inspections,Oversee cargo inspections.,2021-03-29,2021-07-08,Complete
574,Plan Docking Schedules,Plan ship docking schedules.,2020-01-13,2020-12-15,Complete
575,Coordinate Shipping,Coordinate with shipping companies.,2022-06-02,2023-06-03,In Progress
576,Prepare Performance Reports,Prepare port performance reports.,2024-06-05,2024-12-17,In Progress
577,Coordinate Safety Drills,Coordinate port safety drills.,2024-08-23,2024-10-27,Empty
578,Ensure Safe Unloading,Ensure safe unloading operations.,2020-04-24,2021-02-03,Empty
579,Handle Security,Handle port security procedures.,2020-08-28,2022-12-13,Complete
580,Handle Security,Handle port security procedures.,2022-01-24,2022-03-31,Complete
581,Track Shipping Docs,Track shipping documents.,2021-09-26,2021-11-10,Complete
582,Supervise Turnaround Times,Supervise vessel turnaround times.,2024-11-24,2024-12-24,Empty
583,Check Vessel Schedules,Check vessel arrival schedules.,2023-06-04,2024-12-12,Empty
584,Handle Customs Clearance,Handle port customs clearance.,2024-07-11,2024-09-27,In Progress
585,Operate Cranes,Operate cranes and other port equipment.,2023-06-18,2023-12-31,Empty
586,Supervise Loading Process,Supervise the loading and unloading process.,2020-01-14,2024-02-14,In Progress
587,Handle Security,Handle port security procedures.,2024-03-30,2024-07-30,Complete
588,Load Cargo,Load cargo onto ships.,2023-01-30,2024-04-05,Empty
589,Supervise Turnaround Times,Supervise vessel turnaround times.,2020-02-13,2022-07-12,Complete
590,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2023-02-02,2024-08-16,In Progress
591,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2022-10-01,2022-12-23,Complete
592,Plan Docking Schedules,Plan ship docking schedules.,2020-08-01,2022-02-21,In Progress
593,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2023-03-06,2024-12-17,In Progress
594,Operate Cranes,Operate cranes and other port equipment.,2024-05-28,2024-06-12,In Progress
595,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2022-08-01,2023-06-16,Complete
596,Oversee Cargo Inspections,Oversee cargo inspections.,2020-05-12,2020-05-19,Complete
597,Supervise Loading Process,Supervise the loading and unloading process.,2023-02-14,2023-08-03,Empty
598,Plan Docking Schedules,Plan ship docking schedules.,2020-10-01,2021-04-29,In Progress
599,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2023-08-18,2024-07-08,In Progress
600,Handle Security,Handle port security procedures.,2022-12-27,2024-06-14,In Progress
601,Prepare Performance Reports,Prepare port performance reports.,2022-12-04,2023-05-26,Empty
602,Document Shipments,Ensure proper documentation for shipments.,2020-11-11,2024-10-31,In Progress
603,Coordinate Shipping,Coordinate with shipping companies.,2024-11-14,2024-12-26,Empty
604,Track Shipping Docs,Track shipping documents.,2020-06-08,2021-07-07,In Progress
605,Check Vessel Schedules,Check vessel arrival schedules.,2022-08-01,2023-09-11,In Progress
606,Track Container Locations,Track container locations on-site.,2023-05-09,2024-08-03,Complete
607,Check Vessel Schedules,Check vessel arrival schedules.,2022-03-05,2022-12-19,In Progress
608,Ensure Safe Unloading,Ensure safe unloading operations.,2022-05-01,2022-06-12,Complete
609,Operate Cranes,Operate cranes and other port equipment.,2021-09-19,2024-07-03,Empty
610,Monitor Loading Progress,Monitor vessel loading progress.,2024-10-15,2024-11-19,Empty
611,Ensure Safe Unloading,Ensure safe unloading operations.,2024-11-05,2024-11-26,In Progress
612,Supervise Dock Workers,Supervise dock workers.,2024-02-14,2024-09-05,Complete
613,Supervise Loading Process,Supervise the loading and unloading process.,2020-11-28,2023-10-12,In Progress
614,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2022-07-23,2024-05-13,In Progress
615,Handle Security,Handle port security procedures.,2021-11-22,2024-05-30,Complete
616,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2024-04-29,2024-06-17,In Progress
617,Manage Ship Departure,Manage ship departure logistics.,2024-10-29,2024-12-02,Empty
618,Assist with Cargo Consolidation,Assist with cargo consolidation.,2024-10-01,2024-12-04,Empty
619,Coordinate Shipping,Coordinate with shipping companies.,2023-12-29,2024-12-21,Complete
620,Coordinate Shipping,Coordinate with shipping companies.,2021-05-25,2024-09-25,Complete
621,Ensure Safe Unloading,Ensure safe unloading operations.,2023-02-21,2024-03-28,Complete
622,Prepare Performance Reports,Prepare port performance reports.,2022-11-04,2023-04-15,In Progress
623,Manage Berth Allocation,Manage berth allocation.,2021-06-01,2022-05-17,Complete
624,Operate Cranes,Operate cranes and other port equipment.,2024-05-30,2024-10-22,In Progress
625,Monitor Loading Progress,Monitor vessel loading progress.,2020-06-01,2022-03-16,Empty
626,Ensure Safe Unloading,Ensure safe unloading operations.,2023-07-29,2024-03-26,Empty
627,Manage Berth Allocation,Manage berth allocation.,2023-12-09,2024-05-07,Complete
628,Monitor Cargo Inventory,Monitor cargo inventory.,2020-04-15,2022-03-30,Complete
629,Prepare Performance Reports,Prepare port performance reports.,2022-01-26,2023-06-07,In Progress
630,Supervise Turnaround Times,Supervise vessel turnaround times.,2024-04-23,2024-12-31,In Progress
631,Document Shipments,Ensure proper documentation for shipments.,2022-05-02,2024-07-23,In Progress
632,Manage Berth Allocation,Manage berth allocation.,2021-01-31,2022-08-10,Empty
633,Monitor Loading Progress,Monitor vessel loading progress.,2023-07-07,2024-12-22,In Progress
634,Assist with Cargo Consolidation,Assist with cargo consolidation.,2024-06-26,2024-11-27,Complete
635,Handle Billing,Handle port billing and invoicing.,2023-10-16,2023-10-21,In Progress
636,Oversee Cargo Inspections,Oversee cargo inspections.,2024-10-18,2024-12-10,Complete
637,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2021-01-09,2023-06-24,In Progress
638,Coordinate with Customs,Coordinate with customs officers.,2024-04-12,2024-09-07,In Progress
639,Oversee Cargo Inspections,Oversee cargo inspections.,2021-10-15,2023-12-05,Complete
640,Coordinate Safety Drills,Coordinate port safety drills.,2023-10-13,2024-04-25,Complete
641,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2021-03-16,2023-01-09,Empty
642,Check Vessel Schedules,Check vessel arrival schedules.,2024-11-16,2024-12-14,Complete
643,Supervise Turnaround Times,Supervise vessel turnaround times.,2020-06-05,2021-07-15,Empty
644,Inspect Containers,Inspect containers for damage.,2022-09-21,2024-06-26,In Progress
645,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2022-05-31,2023-05-23,Complete
646,Oversee Cargo Inspections,Oversee cargo inspections.,2021-08-19,2024-03-01,In Progress
647,Monitor Cargo Inventory,Monitor cargo inventory.,2021-01-09,2023-07-04,Empty
648,Oversee Cargo Inspections,Oversee cargo inspections.,2022-10-15,2023-01-13,Complete
649,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2021-05-29,2022-07-31,In Progress
650,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2024-06-19,2024-10-13,Complete
651,Supervise Container Storage,Supervise container storage.,2024-12-06,2024-12-13,In Progress
652,Ensure Safe Unloading,Ensure safe unloading operations.,2022-06-04,2022-11-24,Empty
653,Monitor Cargo Inventory,Monitor cargo inventory.,2022-11-27,2023-10-21,Empty
654,Coordinate Shipping,Coordinate with shipping companies.,2021-03-07,2023-12-17,In Progress
655,Supervise Loading Process,Supervise the loading and unloading process.,2024-07-13,2024-11-17,Empty
656,Supervise Dock Workers,Supervise dock workers.,2021-09-13,2024-05-13,Empty
657,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2020-05-19,2023-01-04,Empty
658,Ensure Proper Stowage,Ensure proper stowage of containers.,2021-10-08,2024-10-11,Complete
659,Check Vessel Schedules,Check vessel arrival schedules.,2024-04-08,2024-05-13,Empty
660,Handle Security,Handle port security procedures.,2021-11-30,2022-12-18,Complete
661,Supervise Dock Workers,Supervise dock workers.,2022-12-01,2024-09-08,In Progress
662,Operate Cranes,Operate cranes and other port equipment.,2022-10-04,2024-10-19,Empty
663,Operate Cranes,Operate cranes and other port equipment.,2020-02-03,2024-09-30,In Progress
664,Ensure Safe Unloading,Ensure safe unloading operations.,2022-11-13,2023-02-02,In Progress
665,Manage Berth Allocation,Manage berth allocation.,2022-12-01,2023-02-02,In Progress
666,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2022-12-13,2024-10-02,Complete
667,Supervise Turnaround Times,Supervise vessel turnaround times.,2023-01-03,2024-07-04,Empty
668,Handle Security,Handle port security procedures.,2023-09-29,2024-11-11,Empty
669,Coordinate with Customs,Coordinate with customs officers.,2022-02-15,2022-09-18,Empty
670,Check Vessel Schedules,Check vessel arrival schedules.,2020-09-15,2023-04-02,Empty
671,Handle Billing,Handle port billing and invoicing.,2023-02-21,2024-04-08,In Progress
672,Unload Cargo,Unload cargo from ships.,2023-08-21,2024-11-02,Empty
673,Track Shipping Docs,Track shipping documents.,2024-10-20,2024-12-12,Empty
674,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2024-05-26,2024-06-04,Complete
675,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2023-05-03,2024-04-12,In Progress
676,Track Container Locations,Track container locations on-site.,2023-07-03,2024-03-31,Complete
677,Handle Billing,Handle port billing and invoicing.,2021-01-03,2024-06-07,In Progress
678,Ensure Compliance,Ensure compliance with port regulations.,2022-11-30,2024-01-07,Complete
679,Handle Customs Clearance,Handle port customs clearance.,2023-09-19,2024-12-23,Complete
680,Coordinate Shipping,Coordinate with shipping companies.,2023-01-26,2023-06-04,Complete
681,Oversee Cargo Inspections,Oversee cargo inspections.,2021-09-28,2021-11-20,Complete
682,Coordinate Shipping,Coordinate with shipping companies.,2021-05-05,2022-09-09,Empty
683,Manage Ship Departure,Manage ship departure logistics.,2021-02-03,2022-08-05,Empty
684,Supervise Turnaround Times,Supervise vessel turnaround times.,2024-11-07,2024-12-29,In Progress
685,Load Cargo,Load cargo onto ships.,2023-02-02,2023-05-12,Complete
686,Manage Berth Allocation,Manage berth allocation.,2020-02-05,2021-09-17,Empty
687,Ensure Safe Unloading,Ensure safe unloading operations.,2021-09-25,2022-02-15,In Progress
688,Ensure Safe Unloading,Ensure safe unloading operations.,2022-01-27,2022-02-01,In Progress
689,Unload Cargo,Unload cargo from ships.,2022-01-30,2024-11-29,Empty
690,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2023-12-24,2024-03-18,Complete
691,Check Vessel Schedules,Check vessel arrival schedules.,2024-05-07,2024-07-22,Empty
692,Monitor Cargo Inventory,Monitor cargo inventory.,2021-10-21,2024-05-01,In Progress
693,Assist with Cargo Consolidation,Assist with cargo consolidation.,2021-12-18,2024-10-08,Empty
694,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2020-05-03,2022-07-15,In Progress
695,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2023-06-01,2023-10-31,In Progress
696,Monitor Loading Progress,Monitor vessel loading progress.,2024-05-21,2024-05-23,In Progress
697,Check Vessel Schedules,Check vessel arrival schedules.,2023-03-05,2023-07-10,Empty
698,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2024-02-24,2024-09-13,In Progress
699,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2024-08-04,2024-10-14,In Progress
700,Supervise Dock Workers,Supervise dock workers.,2021-04-27,2023-08-21,Empty
701,Ensure Compliance,Ensure compliance with port regulations.,2022-08-29,2024-12-13,In Progress
702,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2023-03-18,2024-12-21,Complete
703,Coordinate Safety Drills,Coordinate port safety drills.,2024-05-01,2024-07-22,In Progress
704,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2021-06-18,2024-06-11,Empty
705,Document Shipments,Ensure proper documentation for shipments.,2024-05-07,2024-12-12,In Progress
706,Monitor Container Movement,Monitor container movements.,2023-09-27,2023-11-12,Complete
707,Check Vessel Schedules,Check vessel arrival schedules.,2021-04-12,2023-08-10,Complete
708,Unload Cargo,Unload cargo from ships.,2023-10-05,2023-10-27,Complete
709,Oversee Cargo Inspections,Oversee cargo inspections.,2020-10-15,2024-09-01,Complete
710,Supervise Turnaround Times,Supervise vessel turnaround times.,2022-11-21,2024-10-16,Complete
711,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2021-02-28,2021-11-01,Empty
712,Coordinate Shipping,Coordinate with shipping companies.,2021-04-07,2021-05-10,Complete
713,Track Shipping Docs,Track shipping documents.,2022-01-28,2022-06-13,Empty
714,Unload Cargo,Unload cargo from ships.,2022-12-24,2024-03-08,Complete
715,Handle Security,Handle port security procedures.,2024-06-07,2024-09-14,Empty
716,Handle Security,Handle port security procedures.,2024-03-11,2024-12-17,In Progress
717,Coordinate with Customs,Coordinate with customs officers.,2021-10-25,2022-01-18,Empty
718,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2020-06-03,2024-01-02,Complete
719,Coordinate Safety Drills,Coordinate port safety drills.,2020-05-26,2022-07-11,Empty
720,Ensure Safe Unloading,Ensure safe unloading operations.,2020-08-30,2024-12-09,Complete
721,Monitor Loading Progress,Monitor vessel loading progress.,2024-02-04,2024-06-24,Complete
722,Manage Resources,Ensure efficient use of port resources.,2022-09-17,2022-09-22,In Progress
723,Ensure Proper Stowage,Ensure proper stowage of containers.,2022-12-16,2023-08-04,In Progress
724,Check Vessel Schedules,Check vessel arrival schedules.,2023-07-25,2024-01-22,Empty
725,Monitor Cargo Inventory,Monitor cargo inventory.,2023-07-06,2024-06-25,Complete
726,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2024-11-10,2024-12-22,Empty
727,Unload Cargo,Unload cargo from ships.,2022-12-14,2024-03-08,Empty
728,Handle Billing,Handle port billing and invoicing.,2022-05-05,2022-12-05,Complete
729,Coordinate Safety Drills,Coordinate port safety drills.,2024-07-18,2024-10-02,Empty
730,Handle Security,Handle port security procedures.,2022-11-13,2024-01-14,Empty
731,Ensure Proper Stowage,Ensure proper stowage of containers.,2023-12-31,2024-09-08,Complete
732,Oversee Cargo Inspections,Oversee cargo inspections.,2023-04-09,2024-10-11,Complete
733,Ensure Compliance,Ensure compliance with port regulations.,2024-09-13,2024-10-15,Complete
734,Supervise Container Storage,Supervise container storage.,2023-02-17,2023-10-03,Empty
735,Track Container Locations,Track container locations on-site.,2022-11-14,2023-06-06,Empty
736,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2024-12-09,2024-12-10,Complete
737,Ensure Safe Unloading,Ensure safe unloading operations.,2023-01-22,2023-08-07,Complete
738,Supervise Container Storage,Supervise container storage.,2022-09-25,2024-09-20,Complete
739,Inspect Containers,Inspect containers for damage.,2024-07-12,2024-08-26,Complete
740,Assist with Cargo Consolidation,Assist with cargo consolidation.,2020-12-06,2023-11-12,In Progress
741,Oversee Cargo Inspections,Oversee cargo inspections.,2022-02-05,2022-05-01,In Progress
742,Oversee Cargo Inspections,Oversee cargo inspections.,2023-11-01,2024-01-24,Empty
743,Ensure Safe Unloading,Ensure safe unloading operations.,2024-10-05,2024-10-16,Empty
744,Coordinate with Customs,Coordinate with customs officers.,2020-11-03,2021-09-30,In Progress
745,Coordinate Safety Drills,Coordinate port safety drills.,2024-08-11,2024-11-18,Empty
746,Supervise Dock Workers,Supervise dock workers.,2022-12-14,2024-07-25,Empty
747,Prepare Performance Reports,Prepare port performance reports.,2022-04-20,2023-01-23,Complete
748,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2023-11-01,2024-05-31,In Progress
749,Supervise Turnaround Times,Supervise vessel turnaround times.,2022-09-04,2023-12-23,Empty
750,Handle Billing,Handle port billing and invoicing.,2024-03-15,2024-07-28,Empty
751,Ensure Safe Unloading,Ensure safe unloading operations.,2022-05-14,2022-12-13,In Progress
752,Ensure Compliance,Ensure compliance with port regulations.,2020-11-06,2024-05-23,In Progress
753,Handle Security,Handle port security procedures.,2024-03-16,2024-04-28,Empty
754,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2024-04-24,2024-06-04,Empty
755,Document Shipments,Ensure proper documentation for shipments.,2024-12-16,2024-12-17,Empty
756,Track Container Locations,Track container locations on-site.,2021-10-14,2024-07-09,In Progress
757,Oversee Cargo Inspections,Oversee cargo inspections.,2020-12-10,2024-06-13,Empty
758,Handle Billing,Handle port billing and invoicing.,2024-08-10,2024-10-16,In Progress
759,Coordinate Safety Drills,Coordinate port safety drills.,2020-04-22,2021-03-28,Complete
760,Coordinate Safety Drills,Coordinate port safety drills.,2022-01-22,2023-04-11,In Progress
761,Supervise Container Storage,Supervise container storage.,2020-07-01,2022-06-30,Complete
762,Handle Security,Handle port security procedures.,2020-08-13,2023-10-30,Complete
763,Supervise Turnaround Times,Supervise vessel turnaround times.,2023-12-03,2024-03-01,Complete
764,Supervise Dock Workers,Supervise dock workers.,2021-09-06,2024-05-19,In Progress
765,Supervise Loading Process,Supervise the loading and unloading process.,2021-05-05,2023-05-16,Empty
766,Coordinate with Customs,Coordinate with customs officers.,2020-02-05,2023-07-28,Complete
767,Coordinate with Customs,Coordinate with customs officers.,2022-09-11,2022-09-29,In Progress
768,Monitor Container Movement,Monitor container movements.,2020-02-19,2024-10-19,Empty
769,Coordinate with Customs,Coordinate with customs officers.,2022-10-28,2024-02-22,In Progress
770,Handle Customs Clearance,Handle port customs clearance.,2023-10-14,2023-12-31,Complete
771,Assist with Cargo Consolidation,Assist with cargo consolidation.,2023-12-25,2024-09-06,Empty
772,Oversee Cargo Inspections,Oversee cargo inspections.,2020-03-25,2020-08-25,Complete
773,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2022-10-02,2024-07-17,Complete
774,Supervise Dock Workers,Supervise dock workers.,2020-09-15,2021-02-08,Complete
775,Manage Berth Allocation,Manage berth allocation.,2023-05-17,2023-06-25,Complete
776,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2022-08-20,2023-05-16,Complete
777,Handle Customs Clearance,Handle port customs clearance.,2024-11-12,2024-12-06,Empty
778,Supervise Turnaround Times,Supervise vessel turnaround times.,2024-08-06,2024-11-03,Empty
779,Handle Security,Handle port security procedures.,2020-02-17,2022-05-06,In Progress
780,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2024-01-19,2024-07-26,Empty
781,Load Cargo,Load cargo onto ships.,2024-08-19,2024-10-01,Empty
782,Unload Cargo,Unload cargo from ships.,2021-12-13,2023-12-29,In Progress
783,Coordinate Shipping,Coordinate with shipping companies.,2023-07-26,2023-11-28,Complete
784,Ensure Compliance,Ensure compliance with port regulations.,2021-08-01,2023-12-08,Empty
785,Supervise Turnaround Times,Supervise vessel turnaround times.,2020-05-11,2023-02-23,In Progress
786,Prepare Performance Reports,Prepare port performance reports.,2022-12-07,2023-08-30,Complete
787,Plan Docking Schedules,Plan ship docking schedules.,2020-09-16,2022-02-10,Empty
788,Oversee Cargo Inspections,Oversee cargo inspections.,2024-05-01,2024-07-26,Complete
789,Supervise Turnaround Times,Supervise vessel turnaround times.,2024-02-02,2024-03-15,Complete
790,Check Vessel Schedules,Check vessel arrival schedules.,2023-10-06,2024-02-01,Empty
791,Manage Resources,Ensure efficient use of port resources.,2023-09-22,2023-11-11,In Progress
792,Prepare Performance Reports,Prepare port performance reports.,2024-10-21,2024-11-21,In Progress
793,Coordinate Shipping,Coordinate with shipping companies.,2020-10-20,2021-12-24,Complete
794,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2022-06-09,2024-09-21,Empty
795,Operate Cranes,Operate cranes and other port equipment.,2021-07-11,2021-10-05,In Progress
796,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2021-03-13,2023-10-01,In Progress
797,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2020-02-18,2021-11-16,Empty
798,Handle Billing,Handle port billing and invoicing.,2023-11-18,2023-12-16,Empty
799,Operate Cranes,Operate cranes and other port equipment.,2020-03-31,2021-06-03,Empty
800,Coordinate Shipping,Coordinate with shipping companies.,2024-12-11,2024-12-16,Empty
801,Plan Docking Schedules,Plan ship docking schedules.,2023-05-03,2024-09-13,Complete
802,Monitor Cargo Inventory,Monitor cargo inventory.,2023-04-16,2023-07-10,In Progress
803,Coordinate Safety Drills,Coordinate port safety drills.,2022-10-18,2023-08-01,Complete
804,Handle Customs Clearance,Handle port customs clearance.,2022-02-11,2023-09-04,In Progress
805,Supervise Loading Process,Supervise the loading and unloading process.,2022-03-10,2024-09-05,In Progress
806,Plan Docking Schedules,Plan ship docking schedules.,2022-12-16,2024-06-24,Complete
807,Supervise Dock Workers,Supervise dock workers.,2024-09-27,2024-11-10,In Progress
808,Manage Berth Allocation,Manage berth allocation.,2020-10-13,2021-08-15,Empty
809,Supervise Loading Process,Supervise the loading and unloading process.,2024-11-14,2024-12-23,Complete
810,Supervise Loading Process,Supervise the loading and unloading process.,2023-10-31,2024-02-13,Empty
811,Monitor Container Movement,Monitor container movements.,2022-03-31,2023-02-22,Empty
812,Oversee Cargo Inspections,Oversee cargo inspections.,2022-06-24,2022-09-28,In Progress
813,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2021-06-23,2022-10-08,Complete
814,Assist with Cargo Consolidation,Assist with cargo consolidation.,2024-01-29,2024-12-27,Empty
815,Inspect Containers,Inspect containers for damage.,2023-12-01,2024-10-15,In Progress
816,Load Cargo,Load cargo onto ships.,2022-11-17,2023-02-03,Empty
817,Handle Security,Handle port security procedures.,2022-06-14,2024-05-23,In Progress
818,Coordinate Shipping,Coordinate with shipping companies.,2023-03-09,2024-06-21,Complete
819,Oversee Cargo Inspections,Oversee cargo inspections.,2024-12-29,2024-12-29,Complete
820,Supervise Container Storage,Supervise container storage.,2022-11-14,2024-03-11,Empty
821,Ensure Compliance,Ensure compliance with port regulations.,2024-11-13,2024-11-15,Complete
822,Track Shipping Docs,Track shipping documents.,2024-12-13,2024-12-23,In Progress
823,Coordinate Safety Drills,Coordinate port safety drills.,2024-12-24,2024-12-26,Empty
824,Coordinate Safety Drills,Coordinate port safety drills.,2021-08-18,2023-11-20,Empty
825,Coordinate Safety Drills,Coordinate port safety drills.,2023-10-02,2024-08-16,In Progress
826,Load Cargo,Load cargo onto ships.,2023-06-14,2024-10-06,In Progress
827,Supervise Turnaround Times,Supervise vessel turnaround times.,2020-07-01,2023-05-29,In Progress
828,Supervise Dock Workers,Supervise dock workers.,2020-11-18,2023-02-03,Complete
829,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2022-07-24,2024-01-26,Empty
830,Coordinate Safety Drills,Coordinate port safety drills.,2024-09-21,2024-12-22,In Progress
831,Handle Security,Handle port security procedures.,2021-01-01,2024-02-08,Complete
832,Manage Resources,Ensure efficient use of port resources.,2021-07-01,2022-01-26,In Progress
833,Ensure Proper Stowage,Ensure proper stowage of containers.,2023-08-01,2023-09-27,In Progress
834,Handle Billing,Handle port billing and invoicing.,2024-06-01,2024-10-05,Complete
835,Inspect Containers,Inspect containers for damage.,2020-07-13,2021-08-09,Empty
836,Track Container Locations,Track container locations on-site.,2020-07-08,2024-08-30,In Progress
837,Prepare Performance Reports,Prepare port performance reports.,2023-11-22,2024-07-20,Complete
838,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2020-02-26,2022-09-13,In Progress
839,Prepare Performance Reports,Prepare port performance reports.,2024-05-12,2024-11-24,Complete
840,Supervise Turnaround Times,Supervise vessel turnaround times.,2024-04-29,2024-07-14,Complete
841,Handle Security,Handle port security procedures.,2023-01-02,2023-07-18,Complete
842,Track Shipping Docs,Track shipping documents.,2022-03-10,2024-08-01,In Progress
843,Supervise Turnaround Times,Supervise vessel turnaround times.,2021-05-13,2024-11-18,Complete
844,Monitor Container Movement,Monitor container movements.,2024-03-26,2024-05-06,Complete
845,Handle Customs Clearance,Handle port customs clearance.,2021-08-19,2022-05-15,In Progress
846,Manage Berth Allocation,Manage berth allocation.,2020-06-07,2023-05-22,In Progress
847,Plan Docking Schedules,Plan ship docking schedules.,2024-03-07,2024-08-20,Empty
848,Unload Cargo,Unload cargo from ships.,2024-04-28,2024-12-26,Empty
849,Manage Resources,Ensure efficient use of port resources.,2023-06-27,2024-04-03,Complete
850,Coordinate with Customs,Coordinate with customs officers.,2020-04-04,2022-12-22,Complete
851,Document Shipments,Ensure proper documentation for shipments.,2022-03-12,2022-04-02,Empty
852,Handle Security,Handle port security procedures.,2022-07-19,2024-08-19,In Progress
853,Supervise Turnaround Times,Supervise vessel turnaround times.,2020-11-20,2023-08-23,Empty
854,Prepare Performance Reports,Prepare port performance reports.,2021-08-30,2024-09-25,In Progress
855,Manage Resources,Ensure efficient use of port resources.,2021-04-14,2022-11-22,In Progress
856,Supervise Dock Workers,Supervise dock workers.,2024-12-28,2024-12-31,Empty
857,Manage Resources,Ensure efficient use of port resources.,2023-04-23,2024-04-06,Complete
858,Supervise Dock Workers,Supervise dock workers.,2020-05-18,2021-03-22,Complete
859,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2023-01-03,2024-02-19,Complete
860,Track Shipping Docs,Track shipping documents.,2022-10-03,2023-01-21,Empty
861,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2020-07-18,2021-07-26,Complete
862,Coordinate Safety Drills,Coordinate port safety drills.,2022-08-17,2024-03-27,Complete
863,Handle Billing,Handle port billing and invoicing.,2022-03-10,2023-02-07,In Progress
864,Supervise Loading Process,Supervise the loading and unloading process.,2022-11-11,2024-11-24,Complete
865,Coordinate Safety Drills,Coordinate port safety drills.,2023-01-09,2024-03-04,Complete
866,Ensure Compliance,Ensure compliance with port regulations.,2020-02-09,2021-04-12,Complete
867,Operate Cranes,Operate cranes and other port equipment.,2021-12-21,2022-11-03,Empty
868,Operate Cranes,Operate cranes and other port equipment.,2021-12-10,2024-03-14,Empty
869,Unload Cargo,Unload cargo from ships.,2021-01-10,2023-04-28,Empty
870,Coordinate Safety Drills,Coordinate port safety drills.,2020-03-28,2022-12-13,In Progress
871,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2020-08-01,2024-06-22,In Progress
872,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2023-10-31,2024-11-23,Empty
873,Load Cargo,Load cargo onto ships.,2020-06-24,2024-12-15,In Progress
874,Manage Berth Allocation,Manage berth allocation.,2020-06-12,2021-03-09,Complete
875,Load Cargo,Load cargo onto ships.,2020-07-13,2024-09-13,Empty
876,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2024-01-04,2024-05-23,In Progress
877,Monitor Loading Progress,Monitor vessel loading progress.,2022-01-08,2023-04-25,Complete
878,Coordinate Safety Drills,Coordinate port safety drills.,2023-04-17,2024-10-16,In Progress
879,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2021-07-20,2023-05-07,Complete
880,Supervise Turnaround Times,Supervise vessel turnaround times.,2021-12-23,2023-09-08,Empty
881,Handle Billing,Handle port billing and invoicing.,2021-04-20,2021-09-17,Empty
882,Supervise Container Storage,Supervise container storage.,2020-05-21,2020-09-29,Empty
883,Handle Security,Handle port security procedures.,2024-12-03,2024-12-21,In Progress
